Wall time,Step,Value
1712074565.2921467,0,2.1248977184295654
1712074649.6614788,1,1.9064421653747559
1712074733.8088703,2,1.6609331369400024
1712074817.3022773,3,1.464257001876831
1712074900.5039084,4,1.3180793523788452
1712074983.7321868,5,1.2197202444076538
1712075066.6425867,6,1.1552796363830566
1712075149.6323793,7,1.0949879884719849
1712075232.4585793,8,1.0542807579040527
1712075317.7571144,9,1.0241984128952026
1712075402.4395256,10,0.9832115173339844
1712075487.156498,11,0.9517067074775696
1712075571.5616195,12,0.9370340704917908
1712075656.3435977,13,0.915217399597168
1712075741.3169696,14,0.8848785161972046
1712075826.2223547,15,0.8748325705528259
1712075910.665916,16,0.8586632609367371
1712075995.3072546,17,0.8425012230873108
1712076079.9727023,18,0.8333922624588013
1712076164.4835992,19,0.8150465488433838
1712076249.4905775,20,0.8083698153495789
1712076334.1747112,21,0.7828760147094727
1712076418.6415086,22,0.7799434065818787
1712076503.5853887,23,0.7624923586845398
1712076588.582929,24,0.7543293237686157
1712076673.1521673,25,0.7433934807777405
1712076757.550187,26,0.7332944273948669
1712076842.245368,27,0.7243978381156921
1712076926.9799557,28,0.7118173837661743
1712077011.7687037,29,0.7094767093658447
1712077096.6070971,30,0.6977670192718506
1712077181.536939,31,0.6947937607765198
1712077265.9600086,32,0.6859241127967834
1712077350.6074007,33,0.6712856292724609
1712077435.094592,34,0.6718242764472961
1712077519.6086733,35,0.6671671271324158
1712077604.092872,36,0.6508539319038391
1712077688.5945463,37,0.6500293612480164
1712077773.1540675,38,0.6443765163421631
1712077857.7642884,39,0.6341439485549927
1712077942.634602,40,0.6349105834960938
1712078026.9411826,41,0.6242566704750061
1712078111.5321815,42,0.6233543753623962
1712078196.1982775,43,0.6108397841453552
1712078280.7004402,44,0.603305995464325
1712078365.223167,45,0.6061892509460449
1712078449.674868,46,0.5971121788024902
1712078534.0111828,47,0.5983793139457703
1712078618.628889,48,0.5864975452423096
1712078702.9541795,49,0.5871577858924866
1712078787.6854894,50,0.5780912637710571
1712078872.4385073,51,0.57729172706604
1712078957.0186524,52,0.5655704140663147
1712079041.4745426,53,0.5633060932159424
1712079126.035079,54,0.553295373916626
1712079210.3734822,55,0.5571854114532471
1712079294.8394608,56,0.5520738959312439
1712079379.3415334,57,0.5476157665252686
1712079463.6877239,58,0.5388867259025574
1712079548.0550156,59,0.5472467541694641
1712079632.654141,60,0.5393105149269104
1712079717.2141216,61,0.5300041437149048
1712079801.8446987,62,0.5265080332756042
1712079886.2663066,63,0.5276337265968323
1712079970.825196,64,0.521333634853363
1712080055.0460234,65,0.517723798751831
1712080139.5839844,66,0.5139086246490479
1712080223.9148567,67,0.5041525959968567
1712080308.4927769,68,0.5102971196174622
1712080392.8637888,69,0.5040022730827332
1712080477.5068667,70,0.5064171552658081
1712080562.1372628,71,0.5068117380142212
1712080646.4314504,72,0.49922120571136475
1712080730.8851192,73,0.5009515285491943
1712080815.5360944,74,0.49198681116104126
1712080899.854849,75,0.49322253465652466
1712080984.429835,76,0.4831140339374542
1712081068.5130277,77,0.4800899624824524
1712081152.8473704,78,0.48096853494644165
1712081237.1494133,79,0.4754011929035187
1712081321.59881,80,0.4731270372867584
1712081405.8471584,81,0.4720888137817383
1712081490.0109813,82,0.4688887596130371
1712081574.4216516,83,0.46522289514541626
1712081658.592722,84,0.46169593930244446
1712081743.2141147,85,0.47223472595214844
1712081827.4321885,86,0.4582553505897522
1712081911.9516122,87,0.461564838886261
1712081996.1534226,88,0.4546383023262024
1712082080.5888784,89,0.4585478603839874
1712082165.0319843,90,0.45044371485710144
1712082249.4738417,91,0.4506993889808655
1712082333.7225223,92,0.4455215334892273
1712082418.039357,93,0.4415540397167206
1712082502.184147,94,0.4433063566684723
1712082586.177148,95,0.4403761029243469
1712082670.783455,96,0.4398592412471771
1712082755.146987,97,0.43167784810066223
1712082839.2128615,98,0.4326591193675995
1712082923.7675982,99,0.4312783181667328
